v, p
3743.63, 0.0000008615
8743.63, 0.0000040636
13743.63, 0.0000095724
18743.63, 0.0000150642
23743.63, 0.0000186744
28743.63, 0.0000198986
33743.63, 0.0000190768
38743.63, 0.0000173312
43743.63, 0.0000156423
48743.63, 0.0000138967
53743.63, 0.0000118110
58743.63, 0.0000104112
63743.63, 0.0000087619
68743.63, 0.0000072657
73743.63, 0.0000057468
78743.63, 0.0000049307
83743.63, 0.0000037632
88743.63, 0.0000030831
93743.63, 0.0000025730
98743.63, 0.0000015982
103743.63, 0.0000012922
108743.63, 0.0000011222
113743.63, 0.0000008161
118743.63, 0.0000006971
123743.63, 0.0000004761
128743.63, 0.0000004817
133743.63, 0.0000004251
138743.63, 0.0000002210
143743.63, 0.0000002607
148743.64, 0.0000001814
